,epochs,batch,lay1_siz,lay1_act,Drop1,lay2_siz,lay2_act,Drop2,lay3_siz,lay3_act,Drop3,lout_siz,lout_act,loss,optimizer,test_accur,train_accur
105,500,375,128,relu,0.8,64,relu,0.8,32,relu,0.3,2,relu,mean_squared_error,rmsprop,0.5599999976158142,0.6999999996594021
106,500,375,128,relu,0.8,64,relu,0.8,32,relu,0.5,2,relu,mean_squared_error,rmsprop,0.5599999976158142,0.6999999996594021
107,500,375,128,relu,0.8,64,relu,0.8,32,relu,0.8,2,relu,mean_squared_error,rmsprop,0.5599999976158142,0.6999999996594021
108,500,375,128,relu,0.3,64,relu,0.3,32,relu,0.3,2,relu,mean_squared_error,adam,0.6600000095367432,0.7228571425165449
109,500,375,128,relu,0.3,64,relu,0.3,32,relu,0.5,2,relu,mean_squared_error,adam,0.6600000095367432,0.7257142877578735
110,500,375,128,relu,0.3,64,relu,0.3,32,relu,0.8,2,relu,mean_squared_error,adam,0.5599999976158142,0.6999999996594021
111,500,375,128,relu,0.3,64,relu,0.5,32,relu,0.3,2,relu,mean_squared_error,adam,0.6600000095367432,0.7171428568022592
112,500,375,128,relu,0.3,64,relu,0.5,32,relu,0.5,2,relu,mean_squared_error,adam,0.6599999976158142,0.7085714309556144
113,500,375,128,relu,0.3,64,relu,0.5,32,relu,0.8,2,relu,mean_squared_error,adam,0.5599999976158142,0.6999999996594021
114,500,375,128,relu,0.3,64,relu,0.8,32,relu,0.3,2,relu,mean_squared_error,adam,0.5599999976158142,0.6999999996594021
115,500,375,128,relu,0.3,64,relu,0.8,32,relu,0.5,2,relu,mean_squared_error,adam,0.5599999976158142,0.6999999996594021
116,500,375,128,relu,0.3,64,relu,0.8,32,relu,0.8,2,relu,mean_squared_error,adam,0.5599999976158142,0.6999999996594021
117,500,375,128,relu,0.5,64,relu,0.3,32,relu,0.3,2,relu,mean_squared_error,adam,0.6799999976158142,0.7228571425165449
118,500,375,128,relu,0.5,64,relu,0.3,32,relu,0.5,2,relu,mean_squared_error,adam,0.6799999976158142,0.7114285738127573
119,500,375,128,relu,0.5,64,relu,0.3,32,relu,0.8,2,relu,mean_squared_error,adam,0.5599999976158142,0.6999999996594021
120,500,375,128,relu,0.5,64,relu,0.5,32,relu,0.3,2,relu,mean_squared_error,adam,0.6600000095367432,0.719999999659402
121,500,375,128,relu,0.5,64,relu,0.5,32,relu,0.5,2,relu,mean_squared_error,adam,0.6600000095367432,0.7171428568022592
